gene_id	sample_A	sample_B	sample_C	sample_D	sample_E	sample_F
ENSMUSG00000001424	1108	1213	1650	2093	1177	1187
ENSMUSG00000001435	44	14	12	356	25	20
ENSMUSG00000001436	235	63	44	446	84	80
ENSMUSG00000001440	9263	12598	15991	19052	13954	15643
ENSMUSG00000001441	566	787	1074	1643	1012	1146
ENSMUSG00000001444	0	0	0	0	0	0
ENSMUSG00000001445	485	589	681	1202	698	957
ENSMUSG00000001467	214	232	322	531	245	125
ENSMUSG00000001472	1284	1336	1898	3739	2168	2459
ENSMUSG00000001473	35	13	9	110	12	5
ENSMUSG00000001482	140	98	122	265	133	116
ENSMUSG00000001493	0	0	0	0	0	0
ENSMUSG00000001494	0	0	0	0	0	0
ENSMUSG00000001496	0	0	0	0	0	0
ENSMUSG00000001497	18	18	39	64	36	50
ENSMUSG00000001504	0	0	0	0	0	0
ENSMUSG00000001506	21	3	0	36	5	1
ENSMUSG00000001507	1	1	0	3	1	0
ENSMUSG00000001508	0	0	0	0	0	0
ENSMUSG00000001510	0	0	0	0	0	0
ENSMUSG00000001517	2040	2370	3441	3685	3424	4956
ENSMUSG00000001518	186	234	294	612	279	316
ENSMUSG00000001520	11	3	9	16	15	15
ENSMUSG00000001521	42	45	47	83	57	89
ENSMUSG00000001524	194	181	235	464	228	301
ENSMUSG00000001525	25096	42005	58840	54764	49553	67239
ENSMUSG00000001542	11081	11327	15135	19505	13382	12134
ENSMUSG00000001552	29	8	5	101	3	3
ENSMUSG00000001555	2	0	0	17	0	0
ENSMUSG00000001558	1	1	1	5	0	0
ENSMUSG00000001566	0	0	0	0	0	0
ENSMUSG00000001569	456	462	631	1120	619	643
ENSMUSG00000001576	183	36	53	505	81	78
ENSMUSG00000001583	77	66	75	255	120	149
ENSMUSG00000001588	26	0	2	46	5	9
ENSMUSG00000001604	3	0	0	1	0	0
ENSMUSG00000001622	1	0	0	0	0	0
ENSMUSG00000001627	390	315	463	1206	572	642
ENSMUSG00000001630	152	167	238	345	281	306
ENSMUSG00000001632	909	784	1206	2168	1343	1980
ENSMUSG00000001642	239	124	167	582	175	120
ENSMUSG00000001655	0	0	0	0	0	0
ENSMUSG00000001656	0	0	0	0	0	0
ENSMUSG00000001657	0	0	0	0	0	0
ENSMUSG00000001661	0	0	0	1	0	0
ENSMUSG00000001663	23	13	37	29	21	40
ENSMUSG00000001665	0	0	0	4	0	0
ENSMUSG00000001666	65	50	79	121	64	92
ENSMUSG00000001670	0	0	0	0	0	0
ENSMUSG00000001672	0	0	0	0	0	0
ENSMUSG00000001674	708	619	829	1892	729	699
ENSMUSG00000001687	126	131	141	655	204	171
ENSMUSG00000001700	2	0	0	4	0	0
ENSMUSG00000001707	366	442	522	1478	548	830
ENSMUSG00000001729	1079	1211	1557	2330	1486	1519
ENSMUSG00000001739	5	1	1	4	2	1
ENSMUSG00000001741	17	3	0	4	2	3
ENSMUSG00000001750	71	16	20	123	22	21
ENSMUSG00000001751	18	20	23	61	19	35
ENSMUSG00000001755	181	168	222	562	242	244
ENSMUSG00000001761	89	4	2	99	26	33
